col,variable,corr
housing_unknown,loan_unknown,1.0
loan_unknown,housing_unknown,1.0
poutcome_success,pdays,0.7782748657638211
pdays,poutcome_success,0.7782748657638211
poutcome_success,previous,0.5240449650918346
previous,poutcome_success,0.5240449650918346
previous,pdays,0.5065308880164376
pdays,previous,0.5065308880164376
job_retired,age,0.44077226051890417
age,job_retired,0.44077226051890417
y_yes,duration,0.4052738006793158
duration,y_yes,0.4052738006793158
education_primary,job_blue-collar,0.36625995810942524
job_blue-collar,education_primary,0.36625995810942524
poutcome_success,y_yes,0.31626938381981456
y_yes,poutcome_success,0.31626938381981456
y_yes,pdays,0.2790254321976773
pdays,y_yes,0.2790254321976773
age,marital_married,0.2712655507098439
marital_married,age,0.2712655507098439
education_secondary,job_services,0.26653170351271693
job_services,education_secondary,0.26653170351271693
job_management,education_tertiary,0.24849120830304686
education_tertiary,job_management,0.24849120830304686
poutcome_nonexistent,contact_telephone,0.24251150259062068
contact_telephone,poutcome_nonexistent,0.24251150259062068
y_yes,previous,0.23018100321659035
previous,y_yes,0.23018100321659035
marital_single,job_student,0.21663927777044745
job_student,marital_single,0.21663927777044745
age,education_primary,0.20872762454523738
education_primary,age,0.20872762454523738
education_primary,default_unknown,0.1970338102058027
default_unknown,education_primary,0.1970338102058027
default_unknown,job_blue-collar,0.17669768686587736
job_blue-collar,default_unknown,0.17669768686587736
default_unknown,age,0.1650009424246338
age,default_unknown,0.1650009424246338
job_housemaid,education_primary,0.16205510418618452
education_primary,job_housemaid,0.16205510418618452
education_primary,marital_married,0.1474955022855638
marital_married,education_primary,0.1474955022855638
default_unknown,contact_telephone,0.1356039809421657
contact_telephone,default_unknown,0.1356039809421657
education_primary,job_retired,0.13406793890957425
job_retired,education_primary,0.13406793890957425
marital_married,default_unknown,0.13039498171398556
default_unknown,marital_married,0.13039498171398556
job_blue-collar,marital_married,0.12927212652181688
marital_married,job_blue-collar,0.12927212652181688
job_blue-collar,education_secondary,0.12058513649856636
education_secondary,job_blue-collar,0.12058513649856636
marital_single,education_tertiary,0.11705054589597425
education_tertiary,marital_single,0.11705054589597425
previous,job_student,0.10467129962605659
job_student,previous,0.10467129962605659
default_unknown,poutcome_nonexistent,0.10422570383114167
poutcome_nonexistent,default_unknown,0.10422570383114167
job_self-employed,education_tertiary,0.1006524989666574
education_tertiary,job_self-employed,0.1006524989666574
contact_telephone,job_blue-collar,0.09471185232413826
job_blue-collar,contact_telephone,0.09471185232413826
job_student,y_yes,0.09395498918093795
y_yes,job_student,0.09395498918093795
pdays,job_student,0.09356075437965057
job_student,pdays,0.09356075437965057
y_yes,job_retired,0.0922208429612557
job_retired,y_yes,0.0922208429612557
poutcome_nonexistent,campaign,0.0876448213246202
campaign,poutcome_nonexistent,0.0876448213246202
age,job_housemaid,0.08540303062374285
job_housemaid,age,0.08540303062374285
job_student,poutcome_success,0.08332100971820669
poutcome_success,job_student,0.08332100971820669
contact_telephone,campaign,0.07736753702552271
campaign,contact_telephone,0.07736753702552271
contact_telephone,education_primary,0.07047933375597736
education_primary,contact_telephone,0.07047933375597736
job_retired,poutcome_success,0.06806110090894986
poutcome_success,job_retired,0.06806110090894986
job_retired,previous,0.06511342950099118
previous,job_retired,0.06511342950099118
marital_married,contact_telephone,0.0636476872523234
contact_telephone,marital_married,0.0636476872523234
job_management,age,0.062040001664528895
age,job_management,0.062040001664528895
job_management,marital_married,0.0617607453985199
marital_married,job_management,0.0617607453985199
pdays,job_retired,0.05836001557345944
job_retired,pdays,0.05836001557345944
job_retired,marital_married,0.05785763159053864
marital_married,job_retired,0.05785763159053864
marital_single,job_technician,0.05740384324800853
job_technician,marital_single,0.05740384324800853
housing_yes,loan_yes,0.05665077390253654
loan_yes,housing_yes,0.05665077390253654
default_unknown,job_unknown,0.055700728617650554
job_unknown,default_unknown,0.055700728617650554
y_yes,marital_single,0.054133498708307845
marital_single,y_yes,0.054133498708307845
education_tertiary,job_entrepreneur,0.05183176396192599
job_entrepreneur,education_tertiary,0.05183176396192599
marital_unknown,job_unknown,0.051703892756415785
job_unknown,marital_unknown,0.051703892756415785
contact_telephone,education_secondary,0.051655474739413516
education_secondary,contact_telephone,0.051655474739413516
marital_married,job_entrepreneur,0.05104993843952279
job_entrepreneur,marital_married,0.05104993843952279
y_yes,education_tertiary,0.05036375375790681
education_tertiary,y_yes,0.05036375375790681
pdays,duration,0.04867374538893313
duration,pdays,0.04867374538893313
previous,marital_single,0.04848513252229552
marital_single,previous,0.04848513252229552
job_unknown,age,0.04777276718730104
age,job_unknown,0.04777276718730104
duration,poutcome_success,0.04487630589786465
poutcome_success,duration,0.04487630589786465
poutcome_nonexistent,job_blue-collar,0.04384273086831594
job_blue-collar,poutcome_nonexistent,0.04384273086831594
education_secondary,job_student,0.0435639107018156
job_student,education_secondary,0.0435639107018156
marital_married,poutcome_nonexistent,0.04301620318890569
poutcome_nonexistent,marital_married,0.04301620318890569
marital_married,job_housemaid,0.04249193496179458
job_housemaid,marital_married,0.04249193496179458
marital_single,pdays,0.040681237029013044
pdays,marital_single,0.040681237029013044
poutcome_success,marital_single,0.03923788912971615
marital_single,poutcome_success,0.03923788912971615
education_tertiary,poutcome_success,0.03776209279149781
poutcome_success,education_tertiary,0.03776209279149781
job_housemaid,default_unknown,0.0368800219034651
default_unknown,job_housemaid,0.0368800219034651
poutcome_success,age,0.035625720062722396
age,poutcome_success,0.035625720062722396
contact_telephone,job_services,0.03559591412588689
job_services,contact_telephone,0.03559591412588689
default_unknown,campaign,0.033007154723636516
campaign,default_unknown,0.033007154723636516
job_entrepreneur,age,0.03121250637224872
age,job_entrepreneur,0.03121250637224872
age,y_yes,0.030398803040004647
y_yes,age,0.030398803040004647
poutcome_nonexistent,education_primary,0.028241235177111683
education_primary,poutcome_nonexistent,0.028241235177111683
previous,education_tertiary,0.02541854801544999
education_tertiary,previous,0.02541854801544999
job_unemployed,poutcome_success,0.02461185748969223
poutcome_success,job_unemployed,0.02461185748969223
age,previous,0.02436474093611948
previous,age,0.02436474093611948
job_unknown,contact_telephone,0.02345353934959597
contact_telephone,job_unknown,0.02345353934959597
loan_unknown,contact_telephone,0.022189440642763025
housing_unknown,contact_telephone,0.022189440642763025
contact_telephone,housing_unknown,0.022189440642763025
contact_telephone,loan_unknown,0.022189440642763025
pdays,education_tertiary,0.022004683502348896
education_tertiary,pdays,0.022004683502348896
duration,previous,0.020640350701749542
previous,duration,0.020640350701749542
age,pdays,0.020467498621320288
pdays,age,0.020467498621320288
housing_yes,previous,0.02044643404949777
previous,housing_yes,0.02044643404949777
job_unemployed,education_secondary,0.020013642802629218
education_secondary,job_unemployed,0.020013642802629218
job_unknown,marital_married,0.019096725304123423
marital_married,job_unknown,0.019096725304123423
