age_at_enrollment,inflation_rate,gdp,marital_status_decoded,application_mode_decoded,course_decoded,daytimeevening_attendance_decoded,previous_qualification_decoded,nationality_decoded,mothers_qualification_decoded,fathers_qualification_decoded,mothers_occupation_decoded,fathers_occupation_decoded,gender_decoded,displaced_decoded,educational_special_needs_decoded,tuition_fees_up_to_date_decoded,debtor_decoded,scholarship_holder_decoded,international_decoded,total_credited,total_enrolled,total_evaluations,total_approved,weighted_avg_grade,y
19,-0.3,0.79,Single,Other,Tourism,Daytime,Secondary education,Other,Secondary Education,Higher education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Male,Yes,No,No,No,No,No,0,12,12,12,13.83333333333335,0
19,1.4,1.74,Single,1st phase,Design and Multimedia,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,Yes,No,No,No,No,No,0,12,0,0,0.0,1
20,-0.8,-3.12,Single,2nd phase,Journalism and Communication,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions,Female,Yes,No,Yes,No,No,No,0,12,18,11,12.857142857142845,0
45,-0.3,0.79,Married,Over 23 years old,Social Service,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,No,No,0,12,15,11,12.599999999999982,0
50,0.3,-0.92,Married,Over 23 years old,Management,Evening,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Santomean,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Male,No,No,Yes,Yes,No,No,0,10,27,10,11.632275132275149,0
18,2.8,-4.06,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,Female,Yes,No,Yes,No,Yes,No,0,15,17,15,13.791764705882354,0
22,2.8,-4.06,Single,3rd phase,Tourism,Daytime,Secondary education,Cape Verdean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,Yes,No,No,No,No,No,0,10,10,0,0.0,1
21,0.3,-0.92,Single,1st phase,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,Yes,Yes,0,12,15,12,13.99999999999998,0
18,1.4,3.51,Single,1st phase,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,No,Yes,No,No,0,12,23,7,12.678260869565218,1
18,-0.3,0.79,Single,1st phase,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,12,13,11,13.338461538461523,0
18,3.7,-1.7,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,Yes,No,0,16,16,14,13.2142857142857,0
19,3.7,-1.7,Single,1st phase,Other,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Administrative staff,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,12,6,0,0.0,1
21,1.4,3.51,Single,Specialized diploma,Tourism,Daytime,Specialized course,Other,Secondary Education,Secondary Education,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,0,12,15,11,10.800000000000013,0
18,1.4,1.74,Single,1st phase,Veterinary Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,Yes,No,0,10,12,9,12.729166666666666,0
20,2.8,-4.06,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Intermediate Level Technicians and Professions,Female,Yes,No,Yes,No,No,No,0,12,13,5,6.092307692307691,1
18,2.8,-4.06,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Specialized course,Secondary Education,"Personal Services, Security and Safety Workers, and Sellers",Administrative staff,Female,Yes,No,Yes,No,No,No,0,15,16,15,13.925625,0
20,1.4,1.74,Single,1st phase,Equiniculture,Daytime,Secondary education,Portuguese,Higher education,Basic education or less,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,No,No,0,10,16,8,12.375,0
18,3.7,-1.7,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Other,Other,Female,Yes,No,Yes,No,No,No,0,16,24,14,12.857142857142899,0
19,0.6,2.02,Single,1st phase,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,0,12,15,12,12.866666666666674,0
